Sample Rate
100
Channel Index,Channel Name,Scale,Offset
0,Channel 0:,1.000000,-1.000000
1,Channel 1:,1.000000,0.000000
2,Channel 2:,1.000000,0.000000
3,Channel 3:,1.000000,0.000000
4,Channel 4:,1.000000,0.000000
5,Channel 5:,1.000000,0.000000
6,Channel 6:,1.000000,0.000000
7,Channel 7:,1.000000,0.000000
Time(s),Channel 0:,Channel 1:,Channel 2:,Channel 3:,Channel 4:,Channel 5:,Channel 6:,Channel 7:
2.640000,0.386092,1.368970,1.377884,1.366161,1.403897,1.369245,1.357285,1.380565
2.650000,0.383546,1.376607,1.375338,1.363615,1.388621,1.366700,1.359832,1.385657
2.660000,0.386092,1.368970,1.377884,1.371253,1.401351,1.364154,1.354739,1.372927
2.670000,0.388638,1.376607,1.377884,1.366161,1.396259,1.364154,1.367470,1.385657
2.680000,0.388638,1.368970,1.372792,1.366161,1.396259,1.371791,1.367470,1.380565
2.690000,0.381000,1.371516,1.377884,1.363615,1.396259,1.361609,1.354739,1.383111
2.700000,0.391184,1.376607,1.377884,1.361069,1.388621,1.366700,1.370016,1.380565
2.710000,0.383546,1.374062,1.385521,1.361069,1.391167,1.369245,1.367470,1.388204
2.720000,0.381000,1.363879,1.377884,1.371253,1.396259,1.364154,1.354739,1.383111
2.730000,0.386092,1.363879,1.377884,1.371253,1.401351,1.364154,1.362378,1.375473
2.740000,0.391184,1.371516,1.372792,1.361069,1.396259,1.364154,1.359832,1.380565
2.750000,0.386092,1.368970,1.382975,1.363615,1.388621,1.361609,1.362378,1.380565
2.760000,0.388638,1.368970,1.377884,1.358523,1.391167,1.371791,1.367470,1.380565
2.770000,0.383546,1.366425,1.377884,1.371253,1.401351,1.364154,1.362378,1.375473
2.780000,0.386092,1.376607,1.382975,1.366161,1.388621,1.364154,1.362378,1.388204
2.790000,0.383546,1.363879,1.375338,1.366161,1.396259,1.371791,1.362378,1.375473
2.800000,0.378454,1.366425,1.377884,1.371253,1.396259,1.359063,1.354739,1.380565
2.810000,0.378454,1.376607,1.382975,1.366161,1.396259,1.361609,1.359832,1.380565
2.820000,0.388638,1.366425,1.370246,1.368707,1.396259,1.366700,1.362378,1.372927
2.830000,0.386092,1.376607,1.385521,1.366161,1.393713,1.361609,1.362378,1.385657
